x,candidate name
4,Stein
3,Johnson
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
2,Romney
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
1,Obama
